Loan_ID,Lender,Loan_Amount,Interest_Rate,Repayment_Term,Default_Risk,Loan_Purpose,Approval_Time,Application_Date
3df2e4f7-ab81-43bd-9ec2-7f9261e636d0,Tala,47185,36.93,14,High,Emergency,7,2024-06-04
faedcabe-4c2b-409a-9e63-d2caefe70c63,M-Shwari,19435,12.37,45,Low,Personal,40,2024-09-11
d19a522d-095b-486f-b1c9-a647ff8c1d84,Fuliza,47577,26.8,30,High,Personal,28,2024-06-14
99b2eb5c-0d20-4674-ad68-7929891483bf,Fuliza,13734,27.1,45,Low,Emergency,32,2024-08-10
1c86dddf-0a1a-4887-8cfa-97c6de4538b7,KCB M-Pesa,38828,30.66,45,High,Business,35,2023-06-13
b64e947a-814e-4615-ba14-69cb0e13c0dd,KCB M-Pesa,1346,9.6,14,High,Business,15,2024-05-03
6b6a0fa8-b95a-4b6b-85a3-441f27d58be0,Timiza,11454,30.05,30,Low,Education,48,2025-02-09
93a2b612-5d87-4e02-84e1-49bbec2ab5fb,M-Shwari,14203,36.82,45,Low,Medical,36,2023-07-01
5de08f64-e6a7-4356-a70d-b24ff351d7cf,M-Shwari,48653,11.29,30,Low,Medical,21,2024-04-07
e583196f-de5d-4478-ac09-6e7d2cd3b8e8,Branch,47014,13.31,60,High,Medical,6,2023-12-01
f30f9dea-6284-49d1-8edd-1b6ef2a0fe73,Branch,23200,39.0,45,Low,Education,1,2024-09-09
fc9cf6fa-dc3f-4fba-ae6d-24bec063f462,Branch,32543,11.33,60,Low,Medical,4,2023-05-25
18f15d43-9a5c-4a74-9582-2c415306e214,KCB M-Pesa,6969,34.9,45,Low,Emergency,11,2023-09-26
564c5edf-7fcb-4f4c-b74a-6e9381113487,M-Shwari,30605,22.23,45,High,Education,44,2023-07-28
faeb4cd5-09f9-4079-ba10-ca25683ae1d7,M-Shwari,42601,13.65,45,High,Emergency,26,2023-09-30
40244d39-c770-42a9-8053-745070351a6c,Fuliza,26886,35.48,30,High,Education,37,2024-07-07
777395b5-4b31-4f7e-a55a-da4a4c867710,KCB M-Pesa,49876,20.59,30,High,Medical,23,2023-11-14
c206f8ea-d73a-45e7-8df5-f13608ea0ca6,Tala,46087,23.02,60,Low,Emergency,29,2024-12-11
7b54cb57-0e47-480c-9554-b86a06c055ad,KCB M-Pesa,37476,17.57,45,Low,Emergency,21,2024-08-30
913e8d50-36f0-4d12-b122-2205be53c36d,Tala,39551,25.75,60,High,Emergency,48,2024-09-19
a54117ce-988d-49f2-80f1-ecb7b08bf073,Fuliza,2548,10.72,60,Low,Education,45,2023-08-01
8937a607-0cee-4a93-97e1-a0578c3a689b,Timiza,39501,18.69,60,Low,Personal,45,2023-09-05
36e6aa97-00b9-4681-9372-4f431a3cf513,M-Shwari,13441,38.93,90,Low,Medical,49,2024-11-18
e6c4f507-3131-49ca-9fb4-c3284a007e2a,Fuliza,45875,14.03,45,Low,Emergency,27,2023-12-13
67fa4a25-c4b0-468c-8d83-03bf58f848be,M-Shwari,43033,27.99,30,Low,Personal,39,2024-03-29
d61151f4-d247-477c-8efc-d3a09b0da127,Branch,2328,16.38,45,High,Medical,40,2023-03-24
b044be90-61e6-46af-8b72-22dbf349965f,Timiza,2417,32.07,30,Low,Medical,13,2024-06-17
569f5551-3a75-44e8-b694-2cd536501187,Timiza,21118,9.58,45,Low,Emergency,23,2024-06-22
30db9a6d-8057-484d-8397-bfeaf815e0d7,Fuliza,32754,38.94,60,Low,Emergency,59,2024-10-31
fc850f0d-84f9-458e-b316-c60ff4ceb63b,Timiza,40256,20.88,45,High,Education,16,2025-03-11
3e58ede6-194d-4546-b81f-d31245351fcb,Tala,47862,13.26,30,Low,Personal,30,2024-06-13
d261ae87-19ff-4aa0-8b18-d52e283a8400,Timiza,20628,7.57,30,High,Personal,4,2024-09-16
2568e4bf-15fb-4b2b-a50a-afa6c9648d11,M-Shwari,46245,10.94,45,High,Emergency,40,2023-07-11
d191e246-eb03-44b2-aa3a-205ef0abd1f9,M-Shwari,509,23.19,30,Low,Medical,16,2023-09-27
44a2076a-e779-43bb-9921-91558ab1b91e,M-Shwari,17144,16.8,60,High,Emergency,31,2024-02-02
f2507c92-1b32-4515-95a6-752001fe2af4,M-Shwari,22922,34.01,30,High,Medical,53,2024-11-10
71fa852a-e3c7-4ee5-845f-f0c3270efd93,Tala,10365,20.08,30,High,Medical,42,2023-07-16
fe26bc16-61d3-4875-b659-9a65a053c875,KCB M-Pesa,2719,13.7,14,High,Emergency,25,2025-02-19
9518db69-7fcf-4f43-91c1-e8c226fab1d9,Branch,40309,26.6,45,Low,Business,44,2023-04-17
60ec343c-e40a-42af-947c-b6feb4e2fd00,Fuliza,5787,29.74,45,Low,Personal,12,2024-08-10
6adfad5d-2057-45bc-a40b-bd34ebab7f24,M-Shwari,34887,10.85,30,Low,Medical,26,2024-12-20
ca72803e-11de-41d7-ba76-f6cce813184e,Timiza,9012,10.87,14,Low,Medical,37,2025-03-02
0f36886d-e0c2-4209-b74e-6c7bb6623412,M-Shwari,1842,6.28,45,High,Business,48,2023-06-02
31525be2-f1d5-4fe4-9083-afd5fd60e8a1,Timiza,43836,30.77,30,Low,Education,33,2024-11-19
09f39cca-999b-409b-9cdc-c0be1b7681bb,Branch,19716,28.23,45,High,Business,28,2023-03-23
3992fa25-d1b4-4c18-95e9-e5c0123567e2,Branch,28034,21.61,45,High,Business,9,2024-10-30
c3a7cfe1-7d5c-41a4-97fa-df88230bc2e2,Branch,14731,34.55,30,High,Medical,12,2023-06-02
ec8fe1fa-728b-4578-9dbd-56d390f88fc1,Timiza,32793,33.2,30,High,Personal,5,2024-10-20
2241d488-99c7-4451-90df-36c85050d45f,M-Shwari,27114,25.49,90,Low,Business,54,2024-02-19
bfbf506f-96a6-4a82-b395-c0a84ba575bb,Branch,36758,35.39,45,Low,Education,52,2024-04-26
f430cfad-bc77-44dd-8338-d9d4b56c527e,Tala,28753,12.2,45,Low,Emergency,54,2023-12-07
07980b67-e476-4919-9abe-51dc81b15f9d,Timiza,42578,8.92,30,Low,Business,28,2024-11-17
7fbfee79-a39b-42c2-a0b5-24766c9c821f,Timiza,41252,14.44,45,Low,Business,56,2024-01-29
e0b5ec6a-c9d3-479e-9ee6-e3cb5c213b5a,M-Shwari,18488,7.0,14,Low,Education,35,2024-12-24
dff70fc1-0388-47bc-993a-bfe251366de9,Timiza,31537,23.59,45,High,Personal,5,2024-07-01
49672dbe-3cc8-4dbb-b7d7-db6535dacab4,Timiza,12719,37.78,90,Low,Business,34,2023-12-02
b3a6d3cf-2947-40ac-9be7-099b124f4647,Branch,735,6.38,30,Low,Business,46,2023-04-19
dd03dbd4-d369-40c3-80d7-063a19ce50b3,M-Shwari,43429,9.27,14,High,Personal,34,2024-01-07
f61f7e66-a2e6-4e9a-be08-bdb540b3e5fc,Branch,2408,20.83,14,Low,Education,13,2024-11-12
c2dec7b5-4402-437a-922f-c079d194b4b4,Branch,9067,37.69,30,Low,Business,39,2023-06-15
9c9a4ba8-8445-4964-bcce-345e2a7dcec1,M-Shwari,36798,16.07,30,High,Personal,42,2024-02-19
ea8b1006-47b6-4ff2-bb96-80a80281061f,Fuliza,5756,22.75,14,High,Business,45,2024-02-17
2db007d5-3536-4d75-91af-171846c05417,Branch,19519,6.46,60,High,Emergency,48,2024-04-06
e4959967-194d-480d-8d71-24609bdc1f75,Tala,8662,10.19,45,Low,Medical,58,2023-06-08
d78ead53-9ebf-49c0-afcd-4bee2c947d29,Tala,5915,39.53,30,High,Emergency,14,2024-10-10
70c0716e-c528-4111-b90a-5fca45858abb,Timiza,36659,38.78,90,High,Business,11,2024-03-16
e25aa0a6-5a4b-4ff7-b64a-3140e781a8ca,Tala,44425,5.17,30,Low,Education,42,2023-07-05
3ac7bcb9-86ac-40d8-a78e-7234dfde4c71,Timiza,6451,38.31,90,High,Medical,38,2023-10-08
635c9c32-2767-4fd1-8b7b-0930f549a03f,Fuliza,22352,27.37,30,High,Emergency,4,2023-12-13
3fcbff1e-233a-4854-8159-f3bd648c60ab,M-Shwari,8507,35.38,60,Low,Personal,53,2023-06-08
ec7e8144-e093-49bd-9f76-3cb84cc99505,M-Shwari,42332,20.92,45,Low,Education,33,2024-04-24
f05b9988-e490-4877-a33a-52ac4e8cf325,M-Shwari,31023,23.05,60,High,Emergency,7,2024-07-05
29018d91-a437-4dc3-9648-d812cca3db56,Tala,23825,22.11,90,High,Personal,56,2024-12-28
e244fe18-d941-47ef-9fe8-585ed88482f2,Fuliza,21704,28.34,30,Low,Business,41,2023-06-10
9cd398f9-0610-4547-9319-8d869ca74410,Tala,16024,9.89,90,High,Personal,8,2025-03-05
157857fa-bcb9-43fa-9773-163288a5eb7b,Tala,19782,6.05,30,Low,Emergency,37,2023-05-29
1f761efe-3c2d-4c6c-9bc5-b6663746c382,Fuliza,24430,15.78,30,Low,Emergency,51,2024-06-09
3369e738-d3d6-4f07-b4be-d3501bfb2e1c,Fuliza,577,29.66,30,Low,Business,10,2024-06-26
1799b672-f5ac-4f57-a356-25cbb65d199c,Fuliza,40845,12.06,45,High,Personal,43,2024-11-12
0f31d8c3-128b-4b17-b758-ec0c65c5d05a,Fuliza,21111,28.57,30,High,Personal,57,2023-07-27
95c36c30-99a7-44ef-80f2-6669ff2d62e1,M-Shwari,17484,38.95,45,Low,Business,15,2024-06-10
0bfc2890-220b-4ec8-bee0-0cc964c9a8e4,KCB M-Pesa,14560,8.29,45,Low,Personal,38,2023-08-16
78f23a2f-b573-4698-8f9a-ad52dd5b170f,KCB M-Pesa,17949,28.54,60,Low,Business,15,2024-03-02
9d89f66d-80a6-4732-b25b-d6c882ca4469,Fuliza,19020,20.53,60,High,Education,5,2023-10-06
428098cc-d838-48fe-ba93-33d97dc25dc6,KCB M-Pesa,43803,35.38,45,High,Emergency,29,2023-10-10
c91ce207-759b-4a9f-b7df-df216b969b97,KCB M-Pesa,10010,11.2,30,High,Education,19,2023-10-23
3f8d9515-9e7a-4a58-84b7-348940682737,Fuliza,29787,29.24,30,High,Medical,54,2024-06-05
3d0af738-a3bf-4856-bba9-47d2e76833ca,KCB M-Pesa,28673,34.33,30,High,Medical,51,2025-02-21
0ec5d4e6-1580-43fe-aacd-71f12e8d6844,Tala,40211,38.06,14,Low,Medical,10,2023-05-19
a6d1faaf-72ee-4c56-a491-57c9ed7c3bff,Timiza,12454,28.91,30,Low,Business,12,2024-04-27
04da73d0-7fc8-4e2d-a9c7-67886bc3bd51,Timiza,8304,22.4,30,Low,Personal,54,2024-09-10
9f401c15-ce1d-4360-bffb-ea62e27a7eb0,Fuliza,7065,26.62,90,High,Education,4,2024-05-10
658d749e-006f-4f5c-a70d-cf2e9b45b9c0,M-Shwari,6484,35.41,45,High,Education,31,2024-01-19
1e3cfb4f-7e81-41d8-9be1-fde475aec2e0,Fuliza,22026,24.97,30,Low,Education,18,2024-09-26
aaa284a3-2c79-4552-920b-46e5961c6c6e,M-Shwari,37938,6.06,45,High,Education,16,2023-09-24
eea0a0ce-1fe2-4ea6-868d-648d1b07a41d,Timiza,19074,37.58,30,Low,Medical,40,2024-12-27
5601517c-3460-4e81-a666-ff0d25847c63,Fuliza,9684,29.13,45,Low,Education,36,2024-12-26
5bb6ee2c-8c54-4a4a-a07a-c46b0c8860e2,Branch,19596,28.68,45,High,Personal,25,2024-07-01
7c3bcf31-211a-4f87-bbb8-f76c10f923d8,Tala,2692,12.55,45,High,Medical,23,2023-04-23
7ddfeb9e-a479-42b2-8b53-3803b7937cf8,KCB M-Pesa,34516,28.06,45,High,Education,12,2023-04-25
0a293147-6ffe-42f8-bbf8-9583e2d3a957,M-Shwari,11746,18.79,90,Low,Business,34,2023-04-18
4afa3d8b-7ebe-4b33-b858-0155c642291b,Branch,46058,27.79,60,Low,Emergency,36,2024-10-27
c8d1dffb-fa30-4fb8-b223-3d01b7158994,KCB M-Pesa,18881,8.73,45,High,Emergency,37,2023-06-17
ea66f515-639d-49fa-9329-a656cf7af912,KCB M-Pesa,36955,28.02,45,Low,Emergency,3,2024-03-10
d363a9b7-9252-45fa-9503-bad0012d3676,Fuliza,27227,39.98,45,Low,Medical,9,2023-05-02
e0d9710c-2125-4169-ba0a-3c1f6aff800f,KCB M-Pesa,4518,6.69,30,High,Education,53,2023-07-11
f353f3e6-af61-459d-a8f3-b2b64da836cb,Tala,11802,39.2,30,Low,Medical,18,2023-11-18
a6c37652-2bd7-49b1-8cd5-0efdef4a984d,Branch,2470,19.24,14,High,Personal,43,2024-01-05
b4c3fd8c-d7d4-4bdb-abb6-0aa256b46f1a,KCB M-Pesa,41657,35.48,45,High,Business,35,2025-01-15
b2cc154f-3551-4ff9-8477-9550a3e25ca3,Fuliza,27702,32.38,45,Low,Business,57,2023-06-18
ab609ee3-8c37-4ab2-8a4b-ac6e33293d5d,Tala,31610,24.85,30,Low,Emergency,55,2023-07-11
b0c62282-2a2a-44b9-b969-e70d101d017a,Timiza,18086,30.85,90,High,Emergency,34,2025-02-06
ad721619-2aae-4636-a723-3e6301c4e90f,Branch,25019,35.75,90,High,Emergency,41,2023-06-16
e21ed33b-9f5b-4381-abe2-da54c4d43a1a,KCB M-Pesa,31773,19.14,60,High,Education,14,2023-07-19
7dd0fa13-f042-4be0-9143-7fec07ef325d,Fuliza,22451,16.45,45,High,Personal,4,2024-09-09
e5a7b25e-56d7-4347-b378-010b5f8850ad,Timiza,15874,28.37,60,High,Personal,29,2025-01-20
76c443a9-1c0e-4b78-892f-545c1c20a062,Timiza,6288,33.27,30,High,Personal,41,2024-02-18
b2579950-a194-449c-9752-bc45dd9c869c,M-Shwari,5908,31.68,60,Low,Personal,45,2025-01-15
674b3fe6-3c57-42de-b604-e104e6f7aa33,Tala,25553,32.92,30,Low,Emergency,50,2023-10-23
79b8272b-7a72-44b5-8fc7-698e6b3d17e5,KCB M-Pesa,9946,20.25,60,Low,Business,15,2023-09-29
59b3de47-054d-4bb8-8aa4-b6a18c06c5d3,Fuliza,1422,33.62,30,Low,Emergency,28,2024-11-15
ad213202-caf3-4980-a7ae-f268671d23eb,M-Shwari,33687,9.21,60,Low,Personal,42,2024-03-31
eddbfae2-5004-49a8-be40-6da833831a6f,Tala,11289,24.06,90,Low,Emergency,16,2023-10-20
51915791-7297-41aa-b00d-7151a298d8e0,M-Shwari,32684,5.2,30,High,Personal,12,2024-08-19
bb13bbaa-3c71-49e8-8384-6fbbdc33108f,Branch,1620,16.36,45,Low,Medical,52,2024-01-03
8e0d02ba-10b4-408b-a209-ce3b24805c3b,Tala,44528,17.83,90,Low,Business,5,2024-08-27
922c05cf-17f4-4b22-ab52-b43a18a84df9,Tala,32654,18.87,45,Low,Medical,34,2023-11-12
c964507a-1322-4193-9c55-f85184d47f66,KCB M-Pesa,17834,29.34,60,Low,Education,42,2023-05-30
4ba5f094-5f5c-4151-bd4c-5872abe97161,Tala,2836,18.6,45,Low,Emergency,1,2023-05-22
778bff2a-21ef-4cbb-a9ee-1ea52dfcd4c2,M-Shwari,38641,20.7,30,Low,Education,39,2024-07-19
ecf733fa-a246-4886-a6b3-7ded20b1997a,Tala,2743,13.31,30,Low,Emergency,32,2023-08-25
fe31edf2-e111-4739-9d80-461273b95a55,KCB M-Pesa,19529,18.06,30,High,Medical,26,2024-12-23
1016a203-1f15-46d9-a8ee-2e4ef828ce79,KCB M-Pesa,32765,12.95,60,High,Personal,17,2023-04-26
a4a19516-17f6-4726-a01a-3dfddeb4c12e,Branch,37880,7.56,30,High,Personal,48,2024-09-21
804c2020-2472-49ea-944f-3fb8890addbe,M-Shwari,47214,26.12,45,High,Emergency,59,2024-09-23
6631a9b0-b0ac-4d9a-88ef-fe71db728c4b,Timiza,44372,28.39,45,Low,Personal,27,2024-06-09
9dda5c67-1393-4dca-b4bf-c97226dcd253,Timiza,46697,26.68,45,High,Medical,24,2023-11-27
7e5e5f77-8a77-47ef-a3ee-59f7530fa8b8,Tala,24210,21.22,60,High,Personal,35,2025-02-04
09050f48-f95e-4be6-9b89-fdbf495043c5,Branch,29986,18.29,90,Low,Medical,46,2024-05-12
5cb70604-7102-4e90-a067-8beddd74f814,Fuliza,6871,35.22,45,High,Education,42,2025-02-26
e6403497-be6c-431b-978a-7673514414ec,Tala,6859,23.17,60,Low,Medical,54,2024-02-14
b0e4cbad-6512-4d06-860e-3c1e7db60a1e,Branch,41131,21.77,60,High,Business,39,2024-11-27
9ce9a33c-c0b8-4ff4-b798-a00877b78ce9,M-Shwari,36496,5.9,45,High,Business,26,2023-07-18
aa4d005a-52b4-4e31-96a6-d1db660f1515,M-Shwari,20603,16.94,90,Low,Business,49,2025-01-11
39f90aa3-4ac8-42ea-a3a9-4fbb5e74ebbe,M-Shwari,14882,18.31,30,High,Emergency,38,2023-06-24
4862174d-ef8c-4694-b1e4-e13e88dc2948,M-Shwari,19255,18.96,30,High,Emergency,23,2024-03-02
922659a5-ee45-4da6-a373-6ac7b7042f2d,M-Shwari,36159,25.31,60,High,Emergency,22,2024-02-21
5bbbd071-4c10-44b7-9a2f-09be19f033c0,Branch,4256,23.68,45,Low,Medical,4,2025-01-24
c540636d-54fa-488a-ad34-997bb44e5c2c,Branch,21109,26.28,60,High,Emergency,49,2024-09-10
e7e8bad8-3a5e-487a-aba8-660dcd9fba67,KCB M-Pesa,49038,31.77,60,Low,Education,59,2023-12-05
ae344983-b8b3-4765-96e3-64712db43c59,Timiza,16978,33.45,14,Low,Business,9,2024-04-15
37d985ab-6874-44c0-93fc-902ec77344ea,M-Shwari,35942,30.13,60,Low,Medical,4,2025-01-26
11203bd7-f75a-4b53-a0ce-24777e0d65ae,Fuliza,40166,38.44,45,High,Business,7,2024-11-08
b4e644c4-d1d3-4733-b248-93e5e345f333,Branch,10647,5.64,45,High,Emergency,23,2023-05-19
ff8a9929-6458-4d30-9d10-4f5d4047ecce,Fuliza,34061,11.85,45,High,Medical,2,2024-03-16
8cc26d38-cceb-4d93-97c2-67af942cf16a,Fuliza,35384,5.26,90,High,Personal,49,2023-12-10
7ddc71d9-dff4-4611-9b8e-0ca1a7e80fbc,Fuliza,6279,27.66,14,Low,Education,24,2024-07-09
4642f4a1-be76-4712-97d8-5c70aaa2fab5,KCB M-Pesa,12798,36.43,45,Low,Emergency,40,2024-02-03
79544330-8f68-4a43-882a-528363142295,Branch,14653,13.52,45,Low,Emergency,55,2023-12-06
5213105b-0b21-40d6-8595-afcf2cdb2f46,Fuliza,44379,37.45,60,Low,Education,31,2024-04-10
c317465d-efea-4489-bf3a-839390c8c0d2,M-Shwari,11289,7.11,45,Low,Education,47,2024-09-22
2a207472-abc6-432a-abb3-2c68bc58e2a1,Tala,44665,37.71,30,Low,Personal,31,2023-10-17
9ea48c79-973f-4f85-8235-66735889368d,Fuliza,13499,17.31,30,Low,Emergency,47,2024-08-03
c21bd71d-5fc9-4874-a150-e26015f10177,KCB M-Pesa,1314,8.55,30,Low,Emergency,40,2024-12-12
2140de09-5c1c-41eb-b7d4-83470448a81c,Branch,49997,22.01,60,Low,Business,48,2025-03-04
55ee148d-3544-4963-aa2c-99dbb4683763,KCB M-Pesa,11041,13.99,30,Low,Medical,51,2024-10-18
a473337f-1964-4238-b527-135cae373fec,Fuliza,25438,14.97,30,High,Medical,43,2024-07-05
38036557-c2ae-4077-9c20-6ae4fdf1921b,Branch,2943,15.76,90,High,Business,34,2023-11-05
9b2c5514-ec6e-409e-b756-cd579c32b28b,Tala,10957,33.11,14,High,Medical,55,2023-12-05
acc0dcfa-ad47-42b2-8686-10e3de0e61c8,Fuliza,10880,23.87,90,Low,Education,24,2024-05-01
4a7a4f01-1caa-4c61-8fde-4f631efaa502,KCB M-Pesa,8283,15.9,45,Low,Medical,49,2024-09-03
9ed8abe8-1543-47e6-bbd7-e5ffe96c0f8c,Timiza,44741,26.36,60,High,Medical,26,2024-07-17
267559f0-7a33-4c86-8e11-ef2f9affdaad,M-Shwari,17868,30.07,30,Low,Business,16,2023-04-18
5bf1a849-0c2d-41e6-968c-bcc52fbd9c1d,KCB M-Pesa,15828,14.54,14,Low,Personal,57,2024-07-28
6d4062e2-b8b5-41a9-9308-d0b536186a01,Branch,26715,19.47,60,Low,Medical,47,2024-11-11
2cd6dc77-0223-47f3-a656-35896a06f062,Fuliza,34095,9.27,60,Low,Medical,13,2023-08-08
1133575d-9df0-41bf-aa9d-ce6ff5e5b983,M-Shwari,27806,11.34,60,Low,Personal,15,2024-03-18
be99dc0d-51c0-4efe-9c37-647b1882ec76,Fuliza,20415,28.84,30,Low,Business,27,2024-07-22
5ce11f62-362c-4b9f-87f6-705610e0afb4,Branch,40415,11.35,60,High,Personal,4,2023-04-18
e5591319-f061-431e-9c62-f4bb568b2cb8,Fuliza,37719,23.38,60,Low,Business,16,2023-09-16
92336cb4-a307-4350-8050-f3826921e2b5,Timiza,15843,29.82,45,Low,Education,30,2023-11-20
532795d4-800f-4b55-917c-ef548a9f2032,M-Shwari,46903,8.74,60,High,Business,44,2023-11-28
ec418f43-6bb8-479e-8e1f-08839169db20,M-Shwari,39227,24.86,60,Low,Education,30,2025-01-02
3098899c-c811-4bf2-bc56-fcf9f714d793,Branch,626,13.98,45,Low,Education,36,2023-04-09
622c4694-cafd-4f71-80a7-455e36654c9a,Timiza,28132,38.7,14,High,Business,3,2023-05-27
1b1d7fb9-bde6-4c12-8504-919fcf051905,KCB M-Pesa,42063,21.92,45,Low,Emergency,22,2023-04-17
08d800ae-1404-4fb8-9e7c-ff958f4ebcc7,Fuliza,44909,33.21,14,Low,Business,49,2024-12-13
e0297115-6b27-4f88-bd46-b4e914a09fd4,Tala,21030,24.26,45,Low,Medical,22,2023-03-25
5b3c91dc-9d96-4aa9-96f4-b5e3cf03e589,Fuliza,40464,6.52,45,Low,Medical,50,2024-12-12
28b25df6-a8a6-4fbe-93cd-631f24450c0c,Fuliza,44827,27.16,14,Low,Emergency,57,2023-10-19
0617ebfc-c838-4591-87ee-aa1bfb2060b4,KCB M-Pesa,3868,38.3,30,High,Education,50,2024-01-01
5b49c26d-03aa-4413-827f-e5c5fa8bf924,Fuliza,4297,26.06,30,Low,Emergency,55,2024-01-10
b05d3f83-6163-41ce-ae7d-816dd3457d71,Timiza,48382,33.67,60,Low,Medical,49,2024-08-07
291e0686-5404-4a1f-bbc2-b79e7548ab7f,Timiza,14218,35.95,90,Low,Emergency,12,2023-12-18
2a02ea44-2eb1-4d9b-a41c-182d48d75ca9,M-Shwari,35060,12.98,14,Low,Business,55,2023-11-12
3dd7c612-d9b7-49ee-834f-14bd22200f2c,Branch,11553,12.42,90,High,Emergency,21,2024-02-25
e08db93b-8b08-409e-9e93-0be0d08f684c,Tala,22616,26.38,45,Low,Education,56,2023-04-20
feea93c5-cba9-4e3c-852b-3f1a9280d210,Fuliza,36744,19.39,30,Low,Business,4,2023-04-30
488461d0-c1ed-4a3f-ad62-3b0f4f017e89,Fuliza,36685,34.4,14,Low,Personal,31,2024-11-18
aac2e95c-32a5-4ef4-a3c9-cfe93cc9df2f,KCB M-Pesa,2145,36.5,45,Low,Medical,44,2024-02-21
9fb0c6f1-93fc-49a4-9fcc-1b51d04736ae,Branch,48023,17.37,60,Low,Medical,31,2024-12-22
327c3fb9-8d07-48b5-b235-95afb219970a,Timiza,19756,13.29,60,High,Emergency,58,2024-08-23
59371c9e-6894-45bd-8174-be933beea307,Tala,36340,32.32,14,Low,Business,23,2023-05-20
38b86b77-9160-4511-bdc6-812bbb1f7c4b,M-Shwari,35122,14.62,14,Low,Personal,54,2024-04-27
a2c0bea6-4aad-4e38-b7d4-de1f0a3a744d,Timiza,37930,33.79,45,Low,Business,53,2025-02-15
43bd1a74-7235-4170-b87b-1cff4fdd6ea7,Branch,39782,19.83,30,High,Medical,20,2024-05-15
34c50cf4-d1e8-4648-b240-2ad4eedd9a14,M-Shwari,3208,28.36,30,Low,Business,15,2024-08-19
2a8caa40-8445-4356-b1a6-716b58eff5c2,KCB M-Pesa,12194,8.34,30,High,Personal,23,2023-07-17
69cc37be-1d5c-4708-8e8d-f42584f00700,KCB M-Pesa,10024,26.84,60,High,Emergency,28,2024-01-18
a775b7ed-8084-4114-b84b-72e294d69281,Fuliza,32380,20.81,90,High,Education,16,2023-07-01
206ae7a4-0492-49c7-af6a-06b20c4ea9b2,Branch,39724,25.53,45,Low,Business,37,2023-06-25
00a64022-7fd2-4f0c-878b-31895f77b08c,Tala,37480,10.88,90,Low,Education,21,2024-07-02
f2af018d-177d-488d-8bff-8c68c6f384d2,M-Shwari,32909,30.79,30,High,Medical,15,2024-08-25
50e89f86-d8d2-4bd0-a774-1e7d433c984a,Timiza,13724,35.2,45,High,Emergency,17,2024-09-15
50da7a4e-54f5-49bc-b4d5-de6bfa36c699,Branch,41238,12.59,30,High,Emergency,50,2024-07-12
4b0f1455-0b5c-41fa-b2bd-c08b706e5722,Branch,25650,8.35,45,Low,Business,37,2024-01-03
